Profile;Social network;Reactions, Comments & Shares;Profile-ID;Link;Image Link;
"CAAES";INSTAGRAM;42949.0;3678495101;https://app.fanpagekarma.com/discovery/INSTAGRAM/3678495101;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/589032837_18396715348127102_1029885578868296968_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=7d201b&_nc_ohc=vCWniPmVQwAQ7kNvwEXqDmK&_nc_oc=AdmjZsMpBdthQPqv-_1IMyEdJvKWxu-80fDY1PfinOmyqSSDN6kqpGXeg1K94VLJbz4&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=Bz5qGFRu3schrNnGbQ6DVQ&oh=00_Afxr_8uMlQPuTKnQX9tKIltoyb7q10cnh9wSZWiL6qYj7g&oe=69B09D09;
"Caixa de Assistência dos Advogados do RS";INSTAGRAM;40869.0;17841402069151111;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841402069151111;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/619180931_18527569453068972_2983968280184199871_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=_lnlHQFKZu8Q7kNvwHLtLcE&_nc_oc=AdmwH0_SijtLy1M02miQhi9Bqp7xft4iHSqmqYKIEEwTmvwKcjMR9Cr5yxPbBgUshF8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=XoB0jo0PDs14YtpYlN8XMA&oh=00_AfzmxgicpgpqN-jdURLdtijw_GqYBe58C7lHzrdMBdGQLA&oe=69B08146;
"Caixa de Assistência dos Advogados de Alagoas";INSTAGRAM;34546.0;17841402026705777;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841402026705777;https://scontent-ord5-1.xx.fbcdn.net/v/t51.2885-15/397429085_1461062208006664_5097015542320964852_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeERDrtE0hRrJS4zOO5S4NPm4fyyIp5DSFvh_LIinkNIW8Wg7GQjFlAaLxP4Ck9j3d8&_nc_ohc=Et3keCOQH3kQ7kNvwFWjAs2&_nc_oc=AdnKUtZJ_SDOZSX9BQF8PNduNj6pTEQfrodP5HMRFqyX1fAgIEKxclvDpJqASZznMGI&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&oh=00_AfwFnu4dcwXQiyoYITMg9v5q1RBuCBHmcbKsvKhpIHLjcw&oe=69B0A150;
"CASAG";INSTAGRAM;32318.0;1663978299;https://app.fanpagekarma.com/discovery/INSTAGRAM/1663978299;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/541557516_18520671196042300_71846773000358571_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=ueNODX4mCHwQ7kNvwFb3_4f&_nc_oc=AdmcDqR7tKY785Tg9dXtRy3y6P0AK-jTuSunOXjql5Ts2rAZf2Z41GYqXtUL6NLher8&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=LB-k59Y4QlXHxLhJ7MUenQ&oh=00_AfzKFGxrGf1_I35NUjKcJEhe7SfH5Jdpkx4M3ljqPBDqrg&oe=69B09A44;
"CAARN - OAB/RN";INSTAGRAM;27420.0;17841401683966099;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841401683966099;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/642646431_18565359571056133_8140807864630340008_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=7d201b&_nc_ohc=AHgoOS26nIQQ7kNvwFb-mB0&_nc_oc=AdkBDMPWp1kRmm5aqONvS7EZIsSIo6C6qIZv7LuDiOGEzDGYnli9rT2L9Q9JxPsVCCo&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=l3iNpvP48sV5pwFuYh_9oQ&oh=00_Afy7mh3K-CD3QzXASktgtQxhWe10t4_PZzWLpvrlLi2QMw&oe=69B083AE;
"Caixa de Assistência da Advocacia de Pernambuco";INSTAGRAM;24465.0;2901947181;https://app.fanpagekarma.com/discovery/INSTAGRAM/2901947181;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/491465105_1333764051071560_2031933112531556826_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeE2nRPLhzhKq4UycBkMY3eVPRbM-AcXKkw9Fsz4BxcqTKcw2dE7mtivanMNf5d4KB7ZQjm1f0GtQKSbCHLUhp1z&_nc_ohc=6e6B5Py63aAQ7kNvwG4FO5h&_nc_oc=AdlU7Q5PbAs_JSKTlKqZgl_1d7VxJ4AL-7EhlVUra_0NZh3c6fl72hbjh4W_XOwq9lM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfyRYw_phm2yRaTLygbi5zjJAUtCAYEhRAGrq9xCaauyWw&oe=69B0B2D4;
"CAAMA | OAB-MA";INSTAGRAM;21494.0;3514659890;https://app.fanpagekarma.com/discovery/INSTAGRAM/3514659890;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/643600985_18437488189115891_283843150247240946_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=7d201b&_nc_ohc=NtKSuK3jaBwQ7kNvwFDo1-z&_nc_oc=AdndpT4UCoBeGEzT6ihC9jOkyJOOkji-2mSD0LoUYbAYxpJ_36WIojlQnO0RNTnGx3o&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=vCd7kJ85gAS1QTDk-0Eqcg&oh=00_AfzS-gbymt-WSyBz5HInoEr3A7WC5r93tNIuWUAGdRdSvQ&oe=69B0A8C6;
"CAASC";INSTAGRAM;21387.0;10263428792;https://app.fanpagekarma.com/discovery/INSTAGRAM/10263428792;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/573787565_18185981533340793_2014625589492087532_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=7d201b&_nc_ohc=CeD-Pcoj1h4Q7kNvwGf8j_O&_nc_oc=AdluUHoOR20WgE9dKs4jwXkFUC_asLYTFzy74D_Qviqi-OvTDhZoCbLglj3rAbrHWuc&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=ZOloXv8kdG2-pc8rpeBUkw&oh=00_AfzKQRbR6Qknt68BH8sZnRAUjvKJKII2gR6qEiRhj7UOwA&oe=69B0B072;
"CAAPA";INSTAGRAM;21022.0;17841404492691901;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841404492691901;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/643593349_18396882688149757_8236270175701781445_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=7d201b&_nc_ohc=FevXspyZtQcQ7kNvwGRh9Yd&_nc_oc=AdnHAO-hNd7Knm_HCjlTK5zmsVSA4mRmQJ66ksdCNaFcjIKwIyUVs9c0Ys7hdnKOXms&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=a8GyRXCb2UYtZaD2rrGhbg&oh=00_Afw7PnlO4RI2A35t_tyQjEjIEbMfWkhDjRGWZD7evSrSYg&oe=69B0A4F3;
"Caixa de Assistência CAA/MT";INSTAGRAM;15311.0;17841401115033293;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841401115033293;https://scontent-ord5-3.xx.fbcdn.net/v/t51.75761-15/503903323_18509102275037168_203930206950393405_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=YJdxQ3uaMIQQ7kNvwGI38FV&_nc_oc=Adm7tudPuuLXpnXxzEz_Tr4-hekgt9rG9SqlPqIC_6ZEQqb8f416ZL09Ave-O6Rl9ho&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=MEw2afceCfqXHjqdsrBrlg&oh=00_AfweJ6nJ-Y6pxLblrfdmbih5wYpnuNBgHB0m9g3fX3FLuw&oe=69B0AD5B;
"Caixa dos Advogados de MS";INSTAGRAM;12682.0;17841410444451401;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841410444451401;https://scontent-ord5-2.xx.fbcdn.net/v/t51.2885-15/474178306_466373763186186_4864308983116182029_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7d201b&_nc_ohc=zu2hu8MDK9IQ7kNvwHZiV6S&_nc_oc=AdkG0NduyFXPO8K4oCvR48DRoaebFIWVV9nawz2uFYy3w41uMEh8j_3ZY5x_ZhiLFK4&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&oh=00_Afwl7vvuWifCKPxBUCVZfDyW4d52l9DCyXcc5VYFHy0o1A&oe=69B08E8A;
"CAAAC";INSTAGRAM;12043.0;3195302200;https://app.fanpagekarma.com/discovery/INSTAGRAM/3195302200;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/612050501_18434459695110201_7105839333860919316_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_ohc=piNL4kVBl4YQ7kNvwF9XhxE&_nc_oc=AdmOau4_T6BTwu36hO1vYEdInXvs4yoPXUan9sGeRR3PKhG5rrDXPOO87GzqFMVPZ5w&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=tj_7Sbs_p_OJNV4-NlFISQ&oh=00_AfwxshSFjn9iP8E-mjdlJiK8SJuEt832qTmVFc8DqlVVew&oe=69B0ABB2;
"CAAAP";INSTAGRAM;11035.0;17841405709922978;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841405709922978;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/645984304_18423942334190331_3970968356605320319_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGRPMYXM9RVIwD8Sy5YuIj79khfTbY0t_v2SF9NtjS3-386bfpCmHu8w3hJQbTnbSAwZOP2k5k9uOnCZUKU_Upx&_nc_ohc=_4stwfvzd0IQ7kNvwGjqMBg&_nc_oc=AdkDwduOa520fudhzmCBI6-XmXHA_a2KJfJ90vfubVfDR8O2JDwh5zlSIYbgfJ5wr0Y&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=uIrR0gAuCVVqhFgyXk4f1A&oh=00_AfzMI1bpJlURU71gA0UpW_BRoOttCmz_cIi5Q6yUUq6ACw&oe=69B08A48;
"CAA | OAB/RR";INSTAGRAM;6830.0;2165606833;https://app.fanpagekarma.com/discovery/INSTAGRAM/2165606833;https://scontent-ord5-1.xx.fbcdn.net/v/t51.75761-15/505152583_18466589305078834_4082060051784613291_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=7d201b&_nc_ohc=tA1jO2wY16IQ7kNvwFb6azp&_nc_oc=AdkxGIE-Zq2j7YUzbVahCvZs9iEuVp4K_WTzbdKqjkmutxtcRdX1TuEAeotHT8teKiI&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=Ip1cJ_3SHdy0Tu2FASS86A&oh=00_AfyXkdARJHrlhBuAtV5YCFbKyVWs8H4dwH4dNBwe1je-tQ&oe=69B0839C;
"Caixa de Assistência | OAB-TO";INSTAGRAM;3027.0;7143321007;https://app.fanpagekarma.com/discovery/INSTAGRAM/7143321007;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/332569256_620081406619531_7355225797908296742_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGPdpynmQPg7xvv0kSERWmdiaIaytB7Am2JohrK0HsCbfDf_PUBerTNdLA9n85BU-w9af12pPj2nnSpwsuk5Z06&_nc_ohc=M2kha1MatHMQ7kNvwGgCa6j&_nc_oc=AdmUexCuh7B2VjIPyD8IufmQDiaF1yPpx7isMCSwJRKqMzvdiFU-aATwScmp4cbwxl0&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_Afw03LOjEuXGAVkYvyGmEMJyyiA3B9Dl9Nt7-uGDTz8drQ&oe=69B089E3;
"Convênios OABRJ / CAARJ";INSTAGRAM;1324.0;5735138062;https://app.fanpagekarma.com/discovery/INSTAGRAM/5735138062;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/544957970_18401912092186063_1316991265817595746_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeEkRI1j-dNTXafzhoqouzzovLa0_s7S5nm8trT-ztLmef_xFN5LKA-FCZAfBfc1B40RKrshLbVyXRYwK2M833I6&_nc_ohc=kgCnc9h5iYQQ7kNvwF2zkO0&_nc_oc=AdmjmTTY3R8HJ8BO15lKjzpMnwOK8srkDol_gnvziHElrW0ayuIIUmqBWeXGuQ7DKJE&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=FZcFpK7WxdueE1F2GetHsw&oh=00_Afy9Fh-UP6sPALi2aPMY0X0t1HUYyaFABsawEkEXRweS-w&oe=69B0913C;
"CONCAD";INSTAGRAM;940.0;17841406678046143;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841406678046143;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/24175656_314419505704515_6069228293251399680_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeEcaqzhkBloLENos58POxXdWa38YlgHGdBZrfxiWAcZ0EugS0qBm3LZxag_osMQgF7WZTkAyzmxuzA2-x0SSrRi&_nc_ohc=CBPth8uF1lYQ7kNvwEYmkoj&_nc_oc=AdkTWeQlJYbttYbxFGfS7PpvKKrqpnYc9o5J1Rr5k2JfdGAZ04X5-PUsJfHuMTMsT6g&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfyN0R5Dw77nAGHMZ2VrW2veJGcQ3RgRrclfi3mYEFybTA&oe=69B0A273;
"Caixa de Assistência dos Advogados de Rondônia";INSTAGRAM;0.0;1913098455;https://app.fanpagekarma.com/discovery/INSTAGRAM/1913098455;https://scontent-ord5-2.xx.fbcdn.net/v/t51.2885-15/472778829_3865963200282749_9139613815157860337_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7d201b&_nc_ohc=oaadlvRU-DMQ7kNvwFAWF_i&_nc_oc=AdkolFeLWQQdmSaIlLrFC_DFnQgPmsAOkx43KnxQ1O4D2lK3yV8ejQIoqMXVvYe9tsY&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&oh=00_AfwNJoTkMk-TLTJhGDmVqmVnyJYJKEAYtqtD5xmMJ_lf6A&oe=69B08A8B;
